phrasal	meaning	significado	phrase	frase	position
go against	compete, oppose	competir, opor-se	We are going against the best soccer team in the city tonight.	Vamos enfrentar o melhor time de futebol da cidade esta noite.	2975
go against	lose a decision or a verdict of a court.	perder uma decisão ou um veredicto de um tribunal.	If the decision goes against me, I'll go bankrupt.	Se a decisão for contra mim, vou falir.	2976
go against	violate; to breach; to break	violar; romper; quebrar			2977
go against	be unfavourable to someone	ser desfavorável para alguém			2978
go against	be contrary to a trend, feeling or principle	ser contrário a uma tendência, sentimento ou princípio			2979
go against	oppose; to resist	opor; resistir			2980
go against somebody	compete, oppose		We are going against the best soccer team in the city tonight.	Vamos enfrentar o melhor time de futebol da cidade esta noite.	2981
go ahead	to arrive before someone; said to someone when you give them permission to do something; to continue	chegar antes de alguém; disse a alguém quando você lhes der permissão para fazer alguma coisa; continuar	Go ahead! You're almost there.	Vá em frente! Estás quase lá.	2982
go ahead	to arrive before someone; said to someone when you give them permission to do something; to continue	chegar antes de alguém; disse a alguém quando você lhes der permissão para fazer alguma coisa; continuar	Linda, may I have a word with you? Sure, go ahead.	Linda, posso falar contigo? Claro, vá em frente.	2983
go ahead	to arrive before someone; said to someone when you give them permission to do something; to continue	chegar antes de alguém; disse a alguém quando você lhes der permissão para fazer alguma coisa; continuar	Just go ahead. I'm listening.	Apenas vá em frente. Estou a ouvir.	2984
go ahead	start, proceed	começar, continuar	Please go ahead and eat before the food gets cold.	Por favor, vá em frente e coma antes que a comida esfrie.	2985
go ahead	to go in front of someone, or to give permission	ir na frente de alguém, ou para dar permissão	You can go ahead and start the meeting without me.	Podes ir em frente e começar a reunião sem mim.	2986
go ahead	to proceed to do something that you were hesitant about.	continuar fazendo algo que você estava hesitante.	The construction of the bypass went ahead despite the protests from environmentalists.	A construção do desvio foi em frente, apesar dos protestos dos ambientalistas.	2987
go ahead	start, proceed		Please go ahead and eat before the food gets cold.	Por favor, vá em frente e coma antes que a comida esfrie.	2988
go ahead	proceed.	prosseguir, continuar	The construction of the bypass went ahead despite the protests from environmentalists.	A construção do desvio foi em frente, apesar dos protestos dos ambientalistas.	2989
go ahead	to proceed to do something that you were hesitant about.	continuar fazendo algo que você estava hesitante.	The construction of the bypass went ahead despite the protests from environmentalists.	A construção do desvio foi em frente, apesar dos protestos dos ambientalistas.	2990
go ahead	to begin	começar			2991
go ahead with	proceed.	prosseguir, continuar	We now intend to go ahead with the final stage of the project.	Agora pretendemos ir em frente com o estágio final do projeto.	2992
go ahead with	to continue with something	continuar com algo			2993
go all out	reserve nothing; to put forth all possible effort or resources	não reserve nada; aplicar todos os esforços ou recursos possíveis			2994
go along	to continue; to visit or attend a party or event; to travel with someone else	continuar; visitar ou participar de uma festa ou evento; viajar com outra pessoa	We discussed all the company terms and conditions as we went along.	Discutimos todos os termos e condições da empresa à medida que avançávamos.	2995
go along	to continue; to visit or attend a party or event; to travel with someone else	continuar; visitar ou participar de uma festa ou evento; viajar com outra pessoa	I might go along to the party if I finish work soon.	Posso ir à festa se acabar o trabalho em breve.	2996
go along	to continue; to visit or attend a party or event; to travel with someone else	continuar; visitar ou participar de uma festa ou evento; viajar com outra pessoa	I'll go along with you to every corner of the globe.	Vou contigo a todos os cantos do globo.	2997
go along	participate, cooperate, or conform	participar, cooperar ou conformar-se			2998
go along with	to agree with someone/something	concordar com alguém/algo	We didn't go along with each other in this matter.	Nós não nos acompanhamos neste assunto.	2999
go along with	to agree with someone/something	concordar com alguém/algo	I need to persuade my dad to go along with me.	Preciso de convencer o meu pai a ir comigo.	3000
go along with	to agree with someone/something	concordar com alguém/algo	I don't go along with his views about the solutions.	Não concordo com as opiniões dele sobre as soluções.	3001
go along with	to accept or agree with a decision, rule, opinion, etc.	aceitar ou concordar com uma decisão, regra, opinião etc.	I didn't really agree, but I went along with the decision because I was in the minority.	realmente não concordo, mas fui junto com a decisão porque estava na minoria.	3002
go along with	accept a decision or suggestion.	aceitar uma decisão ou sugestão.	I didn't really agree, but I went along with the decision because I was in the minority.	realmente não concordo, mas fui junto com a decisão porque estava na minoria.	3003
go along with	accompany.	acompanhar	I plan to go along with them as far as Los Angeles.	pretendo ir junto com eles, tanto quanto Los Angeles.	3004
go along with	to accept or agree with a decision, rule, opinion, etc.	aceitar ou concordar com uma decisão, regra, opinião etc.	I didn't really agree, but I went along with the decision because I was in the minority.	realmente não concordo, mas fui junto com a decisão porque estava na minoria.	3005
go around	to follow a circular path.	seguir um caminho circular.	a rumour is going around about the Attorney General.	Um boato está passando pelo Procurador Geral.	3006
go around	circulate.	circular	a rumour is going around about the Attorney General.	Um boato está passando pelo Procurador Geral.	3007
go around	be or have enough of something.	ser ou ter o suficiente de algo.	There aren't enough jobs to go around for the numbers of people graduating nowadays.	Não há empregos suficientes para ir ao redor para os números de pessoas que se formam hoje em dia.	3008
go around	visit.	visita.	I went around for dinner at their house.	cheguei por jantar em sua casa.	3009
go around	to follow a circular path.	seguir um caminho circular.	a rumour is going around about the Attorney General.	Um boato está passando pelo Procurador Geral.	3010
go around	move or spread from person to person	mover ou espalhar de pessoa para pessoa			3011
go around	share with everyone	compartilhar com todos			3012
go at	attack or approach something with vigour.	atacar ou se aproximar de algo com vigor.	She went at her dinner like she hadn't eaten for days.	Ela foi para o jantar como ela não tinha comido por dias.	3013
go at	try to solve a problem a specific way; to undertake a task	tentar resolver um problema de uma maneira específica; realizar uma tarefa			3014
go away	to leave a place or a person; to leave your home for a period of time	deixar um lugar ou uma pessoa; deixar sua casa por um período de tempo	My family usually goes away during winter break.	Minha família geralmente vai embora durante as férias de inverno.	3015
go away	to leave a place or a person; to leave your home for a period of time	deixar um lugar ou uma pessoa; deixar sua casa por um período de tempo	I asked him to go away but he still bothered me all the time.	Pedi-lhe para ir embora, mas ele ainda me incomodava o tempo todo.	3016
